,exit,prediction,confidence,target,time,correct,sample
0,0,0,0.6244326829910278,0,2665.7197000000006,True,0
1,1,0,0.9952099919319153,0,2687.1223999999997,True,0
2,2,0,0.9950674772262573,0,2703.8864999999996,True,0
3,3,0,0.9986466765403748,0,2715.2531,True,0
4,4,0,0.9999667406082153,0,2720.5306,True,0
5,0,0,0.9994956254959106,0,33.99830000000037,True,1
6,1,0,0.9506895542144775,0,54.5580999999995,True,1
7,2,0,0.9715245962142944,0,69.91629999999915,True,1
8,3,0,0.9992320537567139,0,80.3875000000005,True,1
9,4,0,0.9999428987503052,0,85.45409999999976,True,1
10,0,0,0.9817414879798889,0,31.632699999999403,True,2
11,1,0,0.9988131523132324,0,52.874700000000274,True,2
12,2,0,0.99901282787323,0,68.79119999999972,True,2
13,3,0,0.9999451637268066,0,79.27459999999975,True,2
14,4,0,0.9999994039535522,0,84.36589999999988,True,2
15,0,0,0.9998500347137451,0,35.268600000000205,True,3
16,1,0,0.9999949932098389,0,57.1275,True,3
17,2,0,0.9999920129776001,0,72.50409999999974,True,3
18,3,0,0.9998852014541626,0,82.99069999999986,True,3
19,4,0,0.9999046325683594,0,88.1021999999998,True,3
20,0,0,0.9999833106994629,0,32.12290000000095,True,4
21,1,0,0.9999982118606567,0,53.540600000001604,True,4
22,2,0,0.9999994039535522,0,72.42360000000048,True,4
23,3,0,0.9999980926513672,0,83.28279999999921,True,4
24,4,0,0.999997615814209,0,88.36110000000019,True,4
25,0,0,0.9976199269294739,0,35.18649999999823,True,5
26,1,0,0.9886117577552795,0,55.44090000000068,True,5
27,2,0,0.9981629252433777,0,70.93150000000037,True,5
28,3,0,0.9992239475250244,0,81.56569999999874,True,5
29,4,0,0.9999064207077026,0,86.65079999999747,True,5
30,0,0,0.9999996423721313,0,32.32810000000086,True,6
31,1,0,0.9999998807907104,0,52.67590000000055,True,6
32,2,0,0.9999967813491821,0,68.532900000001,True,6
33,3,0,0.9999997615814209,0,79.03140000000164,True,6
34,4,0,0.9999986886978149,0,84.11400000000313,True,6
35,0,0,0.999976634979248,0,33.70690000000209,True,7
36,1,0,0.9999045133590698,0,53.9763000000022,True,7
37,2,0,1.0,0,69.53100000000134,True,7
38,3,0,0.9999923706054688,0,80.01110000000011,True,7
39,4,0,0.9999984502792358,0,85.0691000000019,True,7
40,0,0,0.9094835519790649,0,32.55800000000164,True,8
41,1,0,0.9994506239891052,0,54.02250000000208,True,8
42,2,0,0.9987649917602539,0,69.56890000000016,True,8
43,3,0,0.9997779726982117,0,80.00840000000053,True,8
44,4,0,0.9997809529304504,0,85.0705000000005,True,8
45,0,92,0.7925711274147034,0,32.49699999999933,False,9
46,1,92,0.7312830686569214,0,53.452799999998746,False,9
47,2,92,0.9825989007949829,0,68.92729999999858,False,9
48,3,92,0.9824350476264954,0,79.52690000000118,False,9
49,4,92,0.8168848156929016,0,84.593899999998,False,9
50,0,0,0.9999998807907104,0,31.634399999997953,True,10
51,1,0,1.0,0,52.25949999999813,True,10
52,2,0,0.9999998807907104,0,67.57909999999967,True,10
53,3,0,0.9999986886978149,0,78.00999999999902,True,10
54,4,0,0.9999994039535522,0,83.0832000000008,True,10
55,0,0,0.9334615468978882,0,33.49539999999962,True,11
56,1,0,0.9999504089355469,0,54.102900000000176,True,11
57,2,0,0.9999985694885254,0,69.83770000000078,True,11
58,3,0,0.9999175071716309,0,80.39429999999825,True,11
59,4,0,0.9999696016311646,0,85.4771999999997,True,11
60,0,0,0.9984411597251892,0,31.90880000000007,True,12
61,1,0,0.9999747276306152,0,52.469500000000835,True,12
62,2,0,0.999534010887146,0,67.79699999999877,True,12
63,3,0,0.999982476234436,0,78.24890000000195,True,12
64,4,0,0.9999265670776367,0,83.38150000000155,True,12
65,0,0,0.9917600750923157,0,33.74810000000039,True,13
66,1,0,0.9999673366546631,0,55.29939999999911,True,13
67,2,0,0.9997851252555847,0,74.41000000000031,True,13
68,3,0,0.9996616840362549,0,85.18409999999932,True,13
69,4,0,0.9999891519546509,0,90.22869999999727,True,13
70,0,0,0.998299777507782,0,31.800100000001663,True,14
71,1,0,0.9661374092102051,0,52.435700000000196,True,14
72,2,0,0.991773784160614,0,67.61370000000255,True,14
73,3,0,0.9883008599281311,0,78.1010000000002,True,14
74,4,0,0.9989626407623291,0,83.19649999999967,True,14
75,0,0,0.9815722703933716,0,35.537800000000175,True,15
76,1,0,0.9996626377105713,0,56.378099999999876,True,15
77,2,0,0.999901533126831,0,71.83039999999963,True,15
78,3,0,0.9998977184295654,0,82.58030000000005,True,15
79,4,0,0.9999532699584961,0,87.65199999999851,True,15
80,0,0,0.999987006187439,0,32.456200000002156,True,16
81,1,0,0.999998927116394,0,53.06020000000089,True,16
82,2,0,0.9999936819076538,0,68.43470000000096,True,16
83,3,0,0.9999830722808838,0,78.88480000000087,True,16
84,4,0,0.999996542930603,0,83.95259999999993,True,16
85,0,92,0.534976065158844,0,33.23080000000189,False,17
86,1,0,0.9883288145065308,0,53.89500000000069,True,17
87,2,0,0.9998995065689087,0,69.2912000000021,True,17
88,3,0,0.9987760186195374,0,79.8053000000003,True,17
89,4,0,0.9997782111167908,0,84.9265999999993,True,17
90,0,0,0.7219305634498596,0,32.586300000001955,True,18
91,1,0,0.8877447247505188,0,52.99270000000078,True,18
92,2,0,0.6805717349052429,0,72.10150000000226,True,18
93,3,62,0.47851112484931946,0,82.80740000000009,False,18
94,4,62,0.7990313172340393,0,87.8766000000013,False,18
95,0,60,0.5166932940483093,0,34.72089999999994,False,19
96,1,0,0.9982617497444153,0,54.957099999999315,True,19
97,2,0,0.9999685287475586,0,70.69399999999959,True,19
98,3,0,0.9999721050262451,0,81.31059999999835,True,19
99,4,0,0.9999977350234985,0,86.39439999999965,True,19
100,0,0,0.9999600648880005,0,33.28430000000182,True,20
101,1,0,0.9998692274093628,0,53.5722000000014,True,20
102,2,0,0.9999336004257202,0,68.9875000000022,True,20
103,3,0,0.9999518394470215,0,79.40950000000058,True,20
104,4,0,0.9999967813491821,0,84.48190000000011,True,20
105,0,92,0.746719241142273,0,33.732199999999324,False,21
106,1,0,0.9885756373405457,0,54.018299999999186,True,21
107,2,0,0.9680591225624084,0,70.2448000000011,True,21
108,3,0,0.9979181885719299,0,81.0834000000007,True,21
109,4,0,0.9971646666526794,0,86.15570000000261,True,21
110,0,0,0.9999908208847046,0,32.83449999999988,True,22
111,1,0,0.9999947547912598,0,53.667600000000704,True,22
112,2,0,0.9999910593032837,0,69.14779999999965,True,22
113,3,0,0.9999839067459106,0,79.58690000000246,True,22
114,4,0,0.9999998807907104,0,84.65390000000284,True,22
115,0,0,0.999937891960144,0,33.12229999999872,True,23
116,1,0,0.9999916553497314,0,53.404199999999236,True,23
117,2,0,0.9999803304672241,0,69.02609999999854,True,23
118,3,0,0.9999973773956299,0,79.48239999999984,True,23
119,4,0,0.9999957084655762,0,84.5382999999984,True,23
120,0,0,0.999970555305481,0,31.303300000001144,True,24
