,branch-0-train-loss,branch-1-train-loss,branch-2-train-loss,branch-3-train-loss,branch-0-train-accuracy,branch-1-train-accuracy,branch-2-train-accuracy,branch-3-train-accuracy,branch-0-train-time,branch-1-train-time,branch-2-train-time,branch-3-train-time,branch-0-test-loss,branch-1-test-loss,branch-2-test-loss,branch-3-test-loss,branch-0-test-accuracy,branch-1-test-accuracy,branch-2-test-accuracy,branch-3-test-accuracy,branch-0-test-time,branch-1-test-time,branch-2-test-time,branch-3-test-time
0,"[2.2624779107084825, 2.2586941674114396, 2.2352384183559475, 0.3333316538912699]","[0.16663958401039974, 0.20165745856353592, 0.35456613584660385, 0.9063210919727007]",138.03661704063416,"[2.231655029296875, 2.212906982421875, 2.11286474609375, 0.052137039184570313]","[0.278, 0.356, 0.594, 0.976]",8.605449438095093,,,,,,,,,,,,,,,,,,
1,"[2.177655348655346, 2.13121372405143, 1.8146681464799317, 0.21479654048687846]","[0.2536561585960351, 0.320523236919077, 0.5304679883002925, 0.9315079623009425]",140.35503911972046,"[2.113302001953125, 1.9909857177734376, 1.2374254150390624, 0.09712248229980469]","[0.308, 0.344, 0.622, 0.966]",9.084435939788818,,,,,,,,,,,,,,,,,,
2,"[2.087280947859116, 1.9384430794503575, 1.1583038121800862, 0.21373928542411438]","[0.2799805004874878, 0.36130971725706856, 0.6707832304192395, 0.9308579785505362]",142.44479489326477,"[1.9981690673828125, 1.772234375, 0.74950146484375, 0.09788055419921875]","[0.342, 0.386, 0.824, 0.972]",8.753237962722778,,,,,,,,,,,,,,,,,,
3,"[1.9855813419117647, 1.7475254280752357, 0.7847266831024536, 0.17981556076332467]","[0.31954826129346764, 0.41542086447838805, 0.7802242443938902, 0.940526486837829]",138.679265499115,"[1.868244873046875, 1.5547720947265624, 0.49654425048828127, 0.10308256530761718]","[0.356, 0.446, 0.874, 0.968]",9.219147682189941,,,,,,,,,,,,,,,,,,
4,"[1.893272382545905, 1.5976722774313454, 0.5943163157981597, 0.16928050004316297]","[0.3514787130321742, 0.45750731231719205, 0.8365290867728307, 0.9455638609034774]",143.24279808998108,"[1.747862060546875, 1.36699560546875, 0.38207186889648437, 0.13040675354003906]","[0.368, 0.522, 0.91, 0.96]",9.152347803115845,,,,,,,,,,,,,,,,,,
5,"[1.8017459109420702, 1.4619553212341567, 0.4625879287099854, 0.14907922208560997]","[0.38007799805004877, 0.49691257718557036, 0.8665908352291193, 0.9523074423139422]",139.12192726135254,"[1.66024267578125, 1.235621337890625, 0.2857339172363281, 0.1282420196533203]","[0.398, 0.554, 0.94, 0.954]",8.917011976242065,,,,,,,,,,,,,,,,,,
6,"[1.7207861185306306, 1.3522903992829867, 0.3880597382038105, 0.13338985449313961]","[0.4099772505687358, 0.5359116022099447, 0.8875528111797205, 0.9559636009099772]",139.7302761077881,"[1.5692452392578125, 1.140847900390625, 0.24444386291503906, 0.12677890014648438]","[0.452, 0.588, 0.926, 0.97]",9.812687873840332,,,,,,,,,,,,,,,,,,
7,"[1.6515253988767469, 1.2583698102859928, 0.347265283822006, 0.13187165209175436]","[0.4353266168345791, 0.5728794280142997, 0.8981962950926227, 0.9557198570035749]",139.7370526790619,"[1.57042919921875, 1.0678460693359375, 0.235853759765625, 0.17727639770507814]","[0.452, 0.638, 0.92, 0.948]",8.589327096939087,,,,,,,,,,,,,,,,,,
8,"[1.5958253143280794, 1.1767931997989112, 0.3175166058470609, 0.11934435983582832]","[0.451982450438739, 0.6039974000649984, 0.9059148521286968, 0.9601884952876178]",138.69563341140747,"[1.42216796875, 0.89422900390625, 0.1925177001953125, 0.12611087036132812]","[0.496, 0.702, 0.946, 0.96]",8.876413822174072,,,,,,,,,,,,,,,,,,
9,"[1.5427615042045824, 1.1030168703790217, 0.2829961965794605, 0.10574962676714332]","[0.4691257718557036, 0.6325966850828729, 0.9170458238544036, 0.9664445888852778]",139.432541847229,"[1.3476416015625, 0.8391431884765626, 0.21335096740722656, 0.16840553283691406]","[0.504, 0.696, 0.934, 0.96]",8.754075765609741,,,,,,,,,,,,,,,,,,
10,"[1.4955518323955963, 1.0443116424530794, 0.2558709393471218, 0.08850457678377377]","[0.4858628534286643, 0.6467338316542086, 0.9246018849528762, 0.9723756906077348]",139.0237033367157,"[1.2721563720703124, 0.7451325073242188, 0.21131130981445312, 0.15972805786132813]","[0.534, 0.75, 0.934, 0.952]",8.729375123977661,,,,,,,,,,,,,,,,,,
11,"[1.4483270852798993, 0.9761042900197027, 0.22743135340073528, 0.08201353155563201]","[0.49991875203119923, 0.6750081247968801, 0.9343516412089697, 0.9735131621709457]",138.2313733100891,"[1.2205252685546875, 0.694395263671875, 0.1869377899169922, 0.1578955841064453]","[0.56, 0.77, 0.942, 0.948]",8.74618124961853,,,,,,,,,,,,,,,,,,
12,"[1.4141685032092948, 0.9350700985893321, 0.22723057411845954, 0.08902729320805065]","[0.5094247643808905, 0.6892265193370166, 0.9324829379265518, 0.971563210919727]",138.90525722503662,"[1.2113131103515624, 0.6523453979492188, 0.2095704803466797, 0.15946444702148438]","[0.546, 0.792, 0.922, 0.95]",8.554293394088745,,,,,,,,,,,,,,,,,,
13,"[1.3716275745450113, 0.8786622680624391, 0.20742096651441136, 0.08128603890920794]","[0.5253493662658434, 0.7088072798180045, 0.9393077673058173, 0.9731881702957426]",138.48055982589722,"[1.12776708984375, 0.6164476318359375, 0.1522655029296875, 0.12378962707519531]","[0.624, 0.814, 0.956, 0.956]",8.738654851913452,,,,,,,,,,,,,,,,,,
14,"[1.3386537528944589, 0.8391529835777543, 0.1948823380245572, 0.07896488302514117]","[0.5415989600259994, 0.7221319467013325, 0.9411764705882353, 0.9744068898277543]",137.8645932674408,"[1.0585833740234376, 0.5974765625, 0.16955198669433594, 0.13979327392578125]","[0.642, 0.816, 0.95, 0.952]",8.45760202407837,,,,,,,,,,,,,,,,,,
15,"[1.3110161137573124, 0.8015326350239681, 0.18304901569355297, 0.06960524992002153]","[0.5480175495612609, 0.7309067273318167, 0.9462138446538837, 0.9758693532661683]",137.54234743118286,"[1.07705126953125, 0.6098071899414063, 0.17623062133789064, 0.12719213104248048]","[0.624, 0.81, 0.932, 0.962]",8.548424005508423,,,,,,,,,,,,,,,,,,
16,"[1.275191075545377, 0.7612890244150147, 0.16780684914029492, 0.06194852147739275]","[0.5554923626909327, 0.750731231719207, 0.949788755281118, 0.9805817354566135]",137.7808346748352,"[1.07051953125, 0.5756590576171875, 0.20035006713867187, 0.13717329406738282]","[0.608, 0.824, 0.94, 0.958]",8.660732984542847,,,,,,,,,,,,,,,,,,
17,"[1.2565257035566297, 0.738972651172002, 0.16375678864864315, 0.06451063927869577]","[0.5667045823854404, 0.7576373090672733, 0.9530386740331491, 0.9780630484237894]",137.7600154876709,"[0.9659600830078126, 0.53899560546875, 0.16518112182617187, 0.14453143310546876]","[0.662, 0.828, 0.952, 0.958]",8.721843004226685,,,,,,,,,,,,,,,,,,
18,"[1.2290367545498861, 0.7051536602209945, 0.16289634568217826, 0.06272262855904188]","[0.5778355541111472, 0.7732369190770231, 0.9516574585635359, 0.9783067923301918]",137.96867680549622,"[0.92656298828125, 0.4953857116699219, 0.12386476135253906, 0.0975753173828125]","[0.678, 0.842, 0.96, 0.968]",8.850239753723145,,,,,,,,,,,,,,,,,,
19,"[1.2149856165705233, 0.6898029514594166, 0.1512982675616215, 0.05866921083625742]","[0.5840916477088073, 0.7767305817354566, 0.9545011374715632, 0.9807442313942152]",137.59404349327087,"[1.0396024169921876, 0.6315430908203125, 0.2027521209716797, 0.2269138641357422]","[0.616, 0.792, 0.934, 0.942]",8.710591316223145,,,,,,,,,,,,,,,,,,
20,"[1.1815164520789323, 0.652526676945381, 0.13817686936976967, 0.05243242751633846]","[0.5952226194345142, 0.79062398440039, 0.9618134546636334, 0.9828566785830354]",138.99039888381958,"[0.9637977905273437, 0.5083918151855469, 0.17951954650878907, 0.17537026977539064]","[0.662, 0.842, 0.944, 0.95]",9.01407527923584,,,,,,,,,,,,,,,,,,
21,"[1.1580964076972295, 0.633338588532357, 0.13588298293030956, 0.05258618076784408]","[0.6025349366265843, 0.7937926551836204, 0.9624634384140397, 0.9813129671758206]",139.33804607391357,"[0.94553662109375, 0.4922170715332031, 0.13576387023925782, 0.1723997344970703]","[0.648, 0.834, 0.96, 0.954]",9.01465392112732,,,,,,,,,,,,,,,,,,
22,"[1.1350231747136008, 0.6203787440714372, 0.13523757136174136, 0.04964353544664801]","[0.6143158921026974, 0.7979363015924602, 0.9589697757556062, 0.9850503737406565]",139.40414357185364,"[0.9197529907226563, 0.49085330200195315, 0.19033903503417968, 0.23934210205078124]","[0.68, 0.846, 0.934, 0.942]",8.817423343658447,,,,,,,,,,,,,,,,,,
23,"[1.1167061216535994, 0.5857413623253168, 0.1190913227962758, 0.04510129594477423]","[0.6188657783555411, 0.8093110172245694, 0.9643321416964575, 0.9849691257718557]",138.69962358474731,"[0.846595703125, 0.4098115539550781, 0.14451144409179686, 0.17900485229492188]","[0.704, 0.862, 0.956, 0.964]",8.610143423080444,,,,,,,,,,,,,,,,,,
24,"[1.0978199360933945, 0.5770657216723879, 0.12448146895692842, 0.05197965753981151]","[0.6238219044523887, 0.8145108872278193, 0.9640071498212545, 0.9835879103022425]",138.42673659324646,"[0.8245143432617188, 0.4490596008300781, 0.14613441467285157, 0.1662942352294922]","[0.714, 0.842, 0.95, 0.946]",8.823611497879028,,,,,,,,,,,,,,,,,,
25,"[1.0843030193776406, 0.5604178224401812, 0.11590227059509059, 0.050297535972855564]","[0.6351153721156971, 0.8161358466038349, 0.9668508287292817, 0.9844003899902503]",138.50098395347595,"[0.874809814453125, 0.4067364501953125, 0.12830569458007812, 0.12100204467773437]","[0.714, 0.862, 0.956, 0.962]",8.533832788467407,,,,,,,,,,,,,,,,,,
26,"[1.0581937783098392, 0.543034208568614, 0.10451364997613341, 0.039602632370714166]","[0.6385277868053298, 0.8263730906727332, 0.9702632434189146, 0.987081572960676]",138.26840901374817,"[0.8011641845703125, 0.4277174377441406, 0.1325740509033203, 0.13618803405761717]","[0.688, 0.84, 0.944, 0.966]",8.603195905685425,,,,,,,,,,,,,,,,,,
27,"[1.0456318426023725, 0.5304341085320523, 0.10245694175028437, 0.04019544153272389]","[0.6439714007149822, 0.829785505362366, 0.9687195320116997, 0.9874065648358791]",138.56536483764648,"[0.826649169921875, 0.4079670104980469, 0.1397681427001953, 0.15940525817871093]","[0.696, 0.864, 0.956, 0.956]",8.821083545684814,,,,,,,,,,,,,,,,,,
28,"[1.0339084906666396, 0.5087485972030387, 0.0920470159937896, 0.03167224495992825]","[0.6468150796230094, 0.8329541761455964, 0.9733506662333442, 0.9895190120246994]",138.24393558502197,"[0.7503890991210938, 0.3913218994140625, 0.16502682495117188, 0.15454470825195313]","[0.76, 0.854, 0.952, 0.968]",8.812387228012085,,,,,,,,,,,,,,,,,,
29,"[1.012282328439836, 0.49571627225432646, 0.09934336526230399, 0.04010472686638645]","[0.6547773805654858, 0.8385602859928502, 0.9696132596685083, 0.9870003249918752]",138.25418210029602,"[0.721064697265625, 0.4017855834960937, 0.1753823699951172, 0.1748325500488281]","[0.742, 0.866, 0.95, 0.96]",8.565696477890015,,,,,,,,,,,,,,,,,,
30,"[0.997842406234766, 0.4920056838666924, 0.08512168787577186, 0.028201465526105987]","[0.6638771530711732, 0.8423789405264869, 0.97603184920377, 0.9912252193695158]",138.59386134147644,"[0.8254594116210937, 0.4647703857421875, 0.16206060791015625, 0.17037948608398437]","[0.724, 0.832, 0.95, 0.96]",8.592570304870605,,,,,,,,,,,,,,,,,,
